artist,comment,level,lr2_bmsid,md5,name_diff,title,url,url_diff,player,clear_player,theoretical_score,top_score,average_score,std_dev_score,optimized_p,bpi_scores
Ninja Action Team / 29,,16,1794,0077fe17f69a9db8922c16ac00df960f,http://nick.xxxxxxxx.jp/,Born [29Another],http://ninjaactionteam.sakura.ne.jp/,http://nick.xxxxxxxx.jp/,5338,954,3764,3679,3358.3564,94.6265,0.5224767275705315,"[3695.77, 3685.18, 3674.9, 3665.22, 3656.39, 3648.68, 3642.31, 3637.49, 3634.41]"
Judah BGA:Lucifer obj:1/8,汎用 up5932,11,217867,00b4a7cacb64ccd3b6e377699c914075,http://absolute.pv.land.to/uploader/src/up5932.rar,F13 [END],http://manbow.nothing.sh/event/event.cgi?action=More_def&num=52&event=96,http://absolute.pv.land.to/uploader/src/up5932.rar,4097,1000,4174,4145,3882.07,96.1596,0.5,"[4136.17, 4124.59, 4112.71, 4101.08, 4090.21, 4080.6, 4072.66, 4066.74, 4063.08]"
ねこみりん feat.小宮真央×みゆ×えみゅう。 Movie:kkkfff2 / Illust:永山ゆうのん,,18,199242,00b7d72f7ecd3d4f0af4ebdc0ee69f61,http://absolute.pv.land.to/bof/src/up0674.zip,オトゲラヴ！ -発狂END-,http://manbow.nothing.sh/event/event.cgi?action=More_def&num=201&event=96,http://absolute.pv.land.to/bof/src/up0674.zip,3535,965,5100,5017,4493.1782,148.3306,0.5,"[5029.04, 5014.6, 5000.43, 4987.01, 4974.81, 4964.23, 4955.63, 4949.27, 4945.38]"
xi,up0856,7,59115,00d6368de4e80cdaf004612699ee03df,http://absolute.pv.land.to/bmsuploader.html,.357 Magnum (EXTREME),http://manbow.nothing.sh/event/event.cgi?action=More_def&num=12&event=61,http://absolute.pv.land.to/uploader/src/up0856.zip,9230,989,4510,4507,4277.8817,84.4531,0.5108950799764382,"[4504.2, 4496.04, 4484.67, 4471.04, 4456.36, 4441.94, 4429.04, 4418.79, 4412.12]"
Rabbit Bat obj:umes,所属チーム「XBOXLuzeriArcade」up0466,5,40393,00f1ab5a4e5af6ea457bb2435eb5a01f,http://absolute.pv.land.to/bmsuploader.html,rainy beauty [ANOTER+],http://manbow.nothing.sh/event/event.cgi?action=More_def&num=159&event=60,http://absolute.pv.land.to/uploader/src/up0466.zip,10350,999,3868,3859,3610.2733,86.5026,0.5,"[3851.02, 3840.05, 3827.34, 3813.8, 3800.35, 3787.91, 3777.3, 3769.21, 3764.14]"
激辛マニア,所属チーム「発狂マニア」,5,39655,0101e50118aec35ba9a1ba9bb50a40d9,,Auston (7another),http://skydrive.live.com/?cid=B95CFF3A8A971013&id=B95CFF3A8A971013!764,,10897,1000,3832,3824,3650.609,60.2097,0.5,"[3817.53, 3808.33, 3797.7, 3786.39, 3775.18, 3764.82, 3755.99, 3749.25, 3745.04]"
Grand Thaw,所属チーム「Lyrical Signal」,1,77902,0108ff92119d48e0ca0e2eae1f3dffbf,,ERIS MX,http://manbow.nothing.sh/event/event.cgi?action=More_def&num=233&event=65,,22566,998,3186,3178,3048.1984,48.0057,0.5,"[3172.29, 3164.26, 3155.14, 3145.54, 3136.09, 3127.41, 3120.04, 3114.43, 3110.92]"
lazward / obj:Sar,★12？汎用 up6561.zip同梱の00_Re_incarnacion_masterと比べてズレ抜け無しTOTAL:555 Gauge:0.246%/Note,13,227144,017903115130e5317148d594293c921e,http://absolute.pv.land.to/bmsuploader.html,Re*incarnacion [NEXT],http://manbow.nothing.sh/event/event.cgi?action=More_def&num=121&event=96,http://absolute.pv.land.to/uploader/src/up6561.zip,2881,993,4514,4501,4176.2659,130.0885,0.5,"[4490.71, 4477.99, 4463.71, 4448.8, 4434.22, 4420.88, 4409.59, 4401.02, 4395.67]"
HOUJIROU / BGA: hardlove / obj: BANZAI,https://web.archive.org/web/20160327131058/http://freett.com/iidxbanzai/banzaisabun1.html,22,9117,0183b55c5829e698fdaff5ba2f2b97f0,http://page.freett.com/iidxbanzai/banzaisabun.html,myste`re　 -LAST BOSS-,http://houjirou.at-ninja.jp/,http://page.freett.com/iidxbanzai/banzaisabun.html,3163,936,5526,5488,4981.2863,187.9788,0.5,"[5478.34, 5462.82, 5446.76, 5430.93, 5416.09, 5402.91, 5392.0, 5383.85, 5378.81]"
TKR/obj_jakko BGA:seizan,obj_jakko差分一覧 http://joka193.blog.fc2.com/blog-entry-90.html,17,192288,0216b6514a1648c25f0cfc5eb8f83974,http://www.dropbox.com/s/l9qfdh5o6p0k79o/MoE_nicheOVER.lzh,Meaning of Existence [OVERHEAT],http://manbow.nothing.sh/event/event.cgi?action=More_def&num=35&event=95,http://www.dropbox.com/s/l9qfdh5o6p0k79o/MoE_nicheOVER.lzh,2796,998,4870,4870,4570.1964,160.9815,0.5561441538941511,"[4869.91, 4867.4, 4859.98, 4847.37, 4830.58, 4811.36, 4791.9, 4774.58, 4761.84]"
LOKI / obj:JEYSON,,5,1674,022fe7f422e929f8efc37bb244bba00e,http://nekokan.dyndns.info/~lobsak/hokan/,モノリスの園 [ミラクル],http://manbow.nothing.sh/event/event.cgi?action=More_def&num=15&event=54,http://nekokan.dyndns.info/~lobsak/hokan/,9272,999,3538,3516,3262.962,85.1343,0.5,"[3506.19, 3494.68, 3482.6, 3470.57, 3459.19, 3449.04, 3440.6, 3434.27, 3430.35]"
keyc,https://onedrive.live.com/?cid=FC95A680740CA8C9&id=FC95A680740CA8C9%21111,4,44755,0241e9d1a9133d060f4a1832fe19642f,,Wicked plot [N],http://www001.upp.so-net.ne.jp/keyc/,,9669,1000,3998,3994,3693.24,108.6689,0.5,"[3989.37, 3979.14, 3965.57, 3949.83, 3933.31, 3917.43, 3903.52, 3892.71, 3885.87]"
Dr.A (BGA:八嶋 OBJ:三一),http://www.dream-pro.info/~lavalse/LR2IR/search.cgi?mode=ranking&bmsid=203296の修正版,8,204619,028b622244e442ec44db82606d00c3ba,http://app.box.com/s/p7b7wtwssfd0lkpkkrvn,先手必勝戦闘機　鳳 -上昇-,http://manbow.nothing.sh/event/event.cgi?action=More_def&num=171&event=96,http://app.box.com/s/p7b7wtwssfd0lkpkkrvn,5113,1000,3182,3161,2946.505,72.8736,0.5,"[3151.79, 3141.16, 3130.04, 3118.99, 3108.58, 3099.29, 3091.58, 3085.8, 3082.22]"
NAGI obj;江澤,la_noche.exeを実行でファイル展開TOTAL 2000,???,7675,0297acfbb8be061caef1f327c0ea4316,,la noche (end of mix),http://web.archive.org/web/20050427114635/http://hyperextension.web.infoseek.co.jp/sabun2/dairi/la_noche.rar,http://nekokan.dyndns.info/~lobsak/hokan/hokan1.html,3285,979,5322,5160,4308.0174,277.1917,0.5911279791078566,"[5224.72, 5210.51, 5196.37, 5182.64, 5169.63, 5157.72, 5147.26, 5138.69, 5132.53]"
ねこみりん / 霜深,up0776.rar所属チーム「アロエ・ポッターと時の部屋の廃人校」GENOSIDE段位認定 発狂二段 1曲目,4,55441,032b0582871a07c604d8cba171f95797,http://absolute.pv.land.to/bmsuploader.html,Durandal -Magical Freezing- (Radio Edit) [PLANET],http://manbow.nothing.sh/event/event.cgi?action=More_def&num=19&event=60,http://absolute.pv.land.to/uploader/src/up0776.rar,13132,999,3470,3444,3239.6376,74.9622,0.5,"[3435.66, 3425.4, 3414.89, 3404.62, 3395.05, 3386.59, 3379.62, 3374.41, 3371.2]"
SHIKI/fity / obj:A-zert,,17,541,04245f5649e814c54aa4e346abf1c28f,http://www.geocities.jp/azerty1s/,Xecus - X -,http://cid-ec29adccad727122.office.live.com/self.aspx/%E5%85%AC%E9%96%8B/SHIKI/%5BBMS%5D%5BBGA%20BATTLE%5D%5BSHIKI%20%5EM%20fity%5D%5BTrance%20core%5D%5BXecus%5D.7z,http://www.geocities.jp/azerty1s/,7000,1000,4690,4686,4456.063,98.7777,0.5,"[4681.89, 4672.75, 4660.77, 4646.98, 4632.56, 4618.75, 4606.67, 4597.3, 4591.37]"
Xacla / TOHRU MiTSUHASHi / obj:sok,本体URLに差分同梱,5,56447,042b7b3b607695a66fa8bdd8f0d618fc,,oceanbird [benefic7],http://skydrive.live.com/?cid=FD93B4F2CB8CD95F&id=FD93B4F2CB8CD95F%21105#cid=FD93B4F2CB8CD95F&id=FD93B4F2CB8CD95F%21143,https://www.axfc.net/u/3879180,9259,1000,4786,4785,4617.196,74.5155,0.5869631877782318,"[4785.37, 4782.28, 4775.97, 4766.53, 4754.59, 4741.14, 4727.45, 4714.98, 4705.38]"
maklow,,6,1229,0468806684f8f0846affdd79500960c8,http://nekokan.dyndns.info/~lobsak/hokan/,Lostlove - maniac -,http://skydrive.live.com/?cid=6baa5643fcbcb4d3&id=6BAA5643FCBCB4D3%21128,http://nekokan.dyndns.info/~lobsak/hokan/,9101,1000,3436,3434,3219.34,93.6345,0.6275268781678444,"[3433.42, 3428.53, 3420.75, 3410.28, 3397.63, 3383.6, 3369.23, 3355.79, 3344.88]"
Loki-mitsu + Mentalstock あ,,16,95567,05eda314989c59f315fe8f2ff2d6c7e9,http://drowsy.hannnari.com/index.html,Quickening 2 the RED -Sephirothic-,http://manbow.nothing.sh/event/event.cgi?action=More_def&num=268&event=65,http://drowsy.hannnari.com/index.html,3727,988,5262,5215,4840.0638,131.06,0.5,"[5210.37, 5197.16, 5183.88, 5171.08, 5159.27, 5148.92, 5140.44, 5134.13, 5130.26]"
